Version,Name,Size,NR,NAuth,LOC added,MAX LOC added,AVG LOC added,Churn,MAX Churn,AVG Churn,Age,Buggy
3.0.0,src/java/test/org/apache/zookeeper/test/ZooKeeperTestClient.java,392,7,3,441,375,63.00,392,375,56.00,20,No
3.0.1,src/contrib/bookkeeper/benchmark/org/apache/bookkeeper/benchmark/MySqlClient.java,137,1,1,137,137,137.00,137,137,137.00,1,No
3.0.1,src/contrib/bookkeeper/benchmark/org/apache/bookkeeper/benchmark/TestClient.java,269,1,1,269,269,269.00,269,269,269.00,1,No
3.0.1,src/contrib/bookkeeper/src/java/org/apache/bookkeeper/bookie/Bookie.java,343,1,1,343,343,343.00,343,343,343.00,1,No
3.0.1,src/contrib/bookkeeper/src/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java,154,1,1,154,154,154.00,154,154,154.00,1,No
3.0.1,src/contrib/bookkeeper/src/java/org/apache/bookkeeper/client/AddCallback.java,37,1,1,37,37,37.00,37,37,37.00,1,No
3.0.1,src/contrib/bookkeeper/src/java/org/apache/bookkeeper/client/BKException.java,130,1,1,130,130,130.00,130,130,130.00,1,No
3.0.1,src/contrib/bookkeeper/src/java/org/apache/bookkeeper/client/BookKeeper.java,701,1,1,701,701,701.00,701,701,701.00,1,No
3.0.1,src/contrib/bookkeeper/src/java/org/apache/bookkeeper/client/BookieHandle.java,250,1,1,250,250,250.00,250,250,250.00,1,No
3.0.1,src/contrib/bookkeeper/src/java/org/apache/bookkeeper/client/ClientCBWorker.java,112,1,1,112,112,112.00,112,112,112.00,1,No
3.0.1,src/contrib/bookkeeper/src/java/org/apache/bookkeeper/client/ErrorCodes.java,29,1,1,29,29,29.00,29,29,29.00,1,No
3.0.1,src/contrib/bookkeeper/src/java/org/apache/bookkeeper/client/LedgerEntry.java,63,1,1,63,63,63.00,63,63,63.00,1,No
3.0.1,src/contrib/bookkeeper/src/java/org/apache/bookkeeper/client/LedgerHandle.java,349,1,1,349,349,349.00,349,349,349.00,1,No
3.0.1,src/contrib/bookkeeper/src/java/org/apache/bookkeeper/client/LedgerRecoveryMonitor.java,213,1,1,213,213,213.00,213,213,213.00,1,No
3.0.1,src/contrib/bookkeeper/src/java/org/apache/bookkeeper/client/LedgerSequence.java,65,1,1,65,65,65.00,65,65,65.00,1,No
3.0.1,src/contrib/bookkeeper/src/java/org/apache/bookkeeper/client/LedgerStream.java,104,1,1,104,104,104.00,104,104,104.00,1,No
3.0.1,src/contrib/bookkeeper/src/java/org/apache/bookkeeper/client/QuorumEngine.java,265,1,1,265,265,265.00,265,265,265.00,1,No
3.0.1,src/contrib/bookkeeper/src/java/org/apache/bookkeeper/client/QuorumOpMonitor.java,496,1,1,496,496,496.00,496,496,496.00,1,No
3.0.1,src/contrib/bookkeeper/src/java/org/apache/bookkeeper/client/ReadCallback.java,38,1,1,38,38,38.00,38,38,38.00,1,No
